Reservoir unit,Latitude,Longitude,Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
CHINGUETTI,17.73,-17.59,EVAPORITE/INVERSION/COMPRESSION/EXTENSION,OFFSHORE,OIL,DEVELOPING,PASSIVE MARGIN,3900,NEOGENE,SANDSTONE,820.0,125.0,27.0,2000.0
TALANG AKAR (ZONE 3),-5.4397,106.2639,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,2880,PALEOGENE,SANDSTONE,200.0,65.0,18.0,505.0
LEMAN SANDSTONE,53.4682,1.7338,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,7420,PERMIAN,SANDSTONE,715.0,580.0,11.0,0.5
FULMAR,56.45,2.2833,GRAVITY/EVAPORITE/EXTENSION,OFFSHORE,OIL,NEARLY DEPLETED,SALT/RIFT,11787,JURASSIC,THINLY-BEDDED SANDSTONE,650.0,390.0,20.0,350.0
TEMBLOR,36.2674,-120.3659,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,OIL,MATURE PRODUCTION,WRENCH/FOREARC,500,NEOGENE,SHALY SANDSTONE,700.0,190.0,34.0,850.0
BRENT,61.1286,1.1066,,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,7700,JURASSIC,SANDSTONE,300.0,225.0,,500.0
PHOSPHORIA (ERVAY),44.039,-107.748,COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4700,PERMIAN,DOLOMITE,65.0,21.0,8.0,0.5
UPPER MANNVILLE (YY POOL),50.6174,-112.2057,COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3347,CRETACEOUS,SANDSTONE,62.5,18.0,26.0,2500.0
VIKING (A POOL),52.9506,-114.429,COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5840,CRETACEOUS,SANDSTONE,32.0,30.0,10.5,200.0
DUNDEE,43.2827,-84.8716,STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,3180,DEVONIAN,DOLOMITE,100.0,26.0,10.0,3.0
MIRADOR,5.0299,-72.6719,COMPRESSION/SHALE,ONSHORE,OIL,DECLINING PRODUCTION,THRUST/SUB-THRUST/FORELAND,13000,PALEOGENE,SANDSTONE,400.0,200.0,9.0,100.0
CUT BANK SANDSTONE,48.8208,-112.2007,,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2100,CRETACEOUS,SANDSTONE,47.0,16.0,,110.0
TULARE,35.3826,-119.708,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,OIL,DECLINING PRODUCTION,WRENCH,1000,NEOGENE,SANDSTONE,600.0,200.0,35.0,3000.0
CHALK GROUP (TOR-EKOFISK),55.4696,5.13375,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/INVERSION/RIFT,5560,CRETACEOUS-PALEOGENE,CHALK,500.0,160.0,28.0,1.75
SAERTU-PUTAOHUA-GAOTAIZI,46.7167,124.8333,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,2734,CRETACEOUS,THINLY-BEDDED SANDSTONE,600.0,100.0,26.0,1500.0
SHATLYK,36.4381,61.6544,,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,9350,CRETACEOUS,SANDSTONE,66.0,46.0,,350.0
WAHA-DEFA,28.0781,19.915,EXTENSION/INVERSION,ONSHORE,OIL,UNKNOWN,RIFT,5193,CRETACEOUS-PALEOGENE,LIMESTONE,860.0,210.0,20.0,20.0
AGBADA (G2 SAND),5.6139,5.1018,GRAVITY/EXTENSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,7985,NEOGENE,SANDSTONE,66.0,50.0,28.0,2000.0
AGBADA (G3 SAND),5.6139,5.1018,GRAVITY/EXTENSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,8215,NEOGENE,SANDSTONE,130.0,90.0,26.5,2000.0
UNNAMED,36.4773,-109.1404,UPLIFT/BASEMENT-I,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,2800,PALEOGENE,VOLCANICS,95.0,80.0,10.0,0.5
KYZYLTASH,36.6167,65.7,COMPRESSION/EVAPORITE,ONSHORE,GAS,REJUVENATING,INTRACRATONIC,6560,CRETACEOUS,SANDSTONE,450.0,89.0,23.0,214.0
RED SERIES,39.58,52.83,COMPRESSION/EVAPORITE/EXTENSION/LINKED,OFFSHORE,OIL,DEVELOPING,THRUST,7550,NEOGENE,SANDSTONE,10500.0,80.0,17.0,22.0
YINGGEHAI,18.6146,107.9364,TRANSTENSION/EXTENSION/SHALE/LINKED,OFFSHORE,GAS,DEVELOPING,WRENCH/RIFT,3717,NEOGENE,SANDSTONE,660.0,308.0,25.0,88.3
DRAKE POINT-INTREPID INLET,76.4462,-108.9172,COMPRESSION/EVAPORITE/EXTENSION/LINKED,ONSHORE,GAS,UNDEVELOPED,FORELAND,3390,JURASSIC,SANDSTONE,100.0,71.0,20.0,566.0
ROGN (VIKING),64.3656,7.7891,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,4416,JURASSIC,SANDSTONE,100.0,66.0,20.0,6000.0
ARAB C,25.4211,50.7836,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,5297,JURASSIC,LIMESTONE,84.0,15.0,18.0,30.0
ARAB D,25.4211,50.7836,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,5439,JURASSIC,LIMESTONE,231.0,120.0,20.0,70.0
UWAINAT,25.4211,50.7836,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,ONSHORE,OIL,UNKNOWN,SALT/FORELAND,6721,JURASSIC,LIMESTONE,120.0,75.0,18.0,15.0
GRAYBURG,31.5521,-102.4349,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3300,PERMIAN,DOLOMITE,300.0,80.0,13.0,11.0
BEKASAP (KEDUA-PERTAMA SANDS),1.2956,101.2304,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,400,NEOGENE,SANDSTONE,280.0,150.0,34.0,1500.0
DURI (RINDU SAND),1.2956,101.2304,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,220,NEOGENE,SANDSTONE,120.0,52.0,32.0,1900.0
RED SERIES,39.47,52.73,COMPRESSION/EVAPORITE/EXTENSION/LINKED,OFFSHORE,OIL,DEVELOPING,THRUST,10100,NEOGENE,SANDSTONE,8200.0,260.0,18.0,100.0
RED FORK,35.5017,-98.8745,,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,11450,CARBONIFEROUS,SANDSTONE,200.0,120.0,,1.0
WABAMUN (A POOL),51.4001,-114.0265,COMPRESSION/EROSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,7700,DEVONIAN,DOLOMITE,100.0,67.6,6.1,5.2
WOODBINE,32.1853,-94.9257,GRAVITY/EXTENSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,3500,CRETACEOUS,SANDSTONE,51.0,37.0,25.0,2098.0
TOR-EKOFISK,56.5357,3.1985,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,OFFSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/INVERSION/RIFT,9250,CRETACEOUS-PALEOGENE,CHALK,820.0,590.0,32.0,1.5
TOR-EKOFISK,56.5667,3.0847,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,OFFSHORE,GAS-CONDENSATE,ABANDONED,SALT/INVERSION/RIFT,9870,CRETACEOUS-PALEOGENE,CHALK,650.0,360.0,30.0,1.5
KIRCHAOU,31.65,9.18,COMPRESSION/EXTENSION/EROSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,9022,TRIASSIC,SANDSTONE,353.0,190.0,17.0,500.0
ADMIRE 650 SAND,37.8526,-97.8984,INVERSION/COMPRESSION/EXTENSION/EROSION,ONSHORE,OIL,ABANDONED,FORELAND,500,PERMIAN,SANDSTONE,40.0,18.0,28.0,240.0
MERECURE (NARICUAL-LOS JABILLOS),9.6835,-63.4529,COMPRESSION,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,12750,PALEOGENE,SANDSTONE,1600.0,850.0,15.0,480.0
FULMAR,57.0,1.85,,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SALT/RIFT,17250,JURASSIC,SANDSTONE,980.0,755.0,,25.0
MADISON,44.9789,-108.855,COMPRESSION/EXTENSION/LINKED,ONSHORE,OIL,MATURE PRODUCTION,THRUST/FORELAND,4350,CARBONIFEROUS,DOLOMITE,780.0,205.0,12.0,7.0
TENSLEEP,44.9789,-108.855,COMPRESSION/EXTENSION/LINKED,ONSHORE,OIL,ABANDONED,THRUST/FORELAND,4000,CARBONIFEROUS,SANDSTONE,250.0,110.0,17.0,150.0
ORISKANY,38.6216,-81.6611,COMPRESSION/EROSION,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,4850,DEVONIAN,SANDSTONE,35.0,11.0,8.0,27.5
MISSION CANYON (MADISON),47.2376,-103.5028,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,9125,CARBONIFEROUS,DOLOMITE,105.0,40.0,16.0,25.0
CLEVELAND,36.2724,-100.7161,COMPRESSION/EROSION,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,6500,CARBONIFEROUS,SHALY SANDSTONE,150.0,26.0,14.0,0.4
SAN ANDRES,32.127,-102.6353,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4185,PERMIAN,DOLOMITE,350.0,40.0,8.0,3.0
ABO,32.7677,-104.2507,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5600,PERMIAN,DOLOMITE,300.0,151.0,10.0,50.0
KEKIKTUK,70.3458,-148.0193,,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,9484,CARBONIFEROUS,SANDSTONE,800.0,337.0,,1000.0
STAGE IVD (N SAND),6.353,115.67,STRIKE-SLIP/TRANSTENSION/GRAVITY/SHALE/EXTENSION/SYNSEDIMENTATION/BASEMENT-I,OFFSHORE,OIL,DECLINING PRODUCTION,WRENCH/BACKARC,6048,NEOGENE,SANDSTONE,550.0,140.0,20.0,140.0
HEATHER,57.0556,2.0694,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14900,JURASSIC,SANDSTONE,60.0,50.0,20.0,18.0
PENTLAND,57.0556,2.0694,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14700,JURASSIC,SANDSTONE,500.0,150.0,16.0,10.0
PUFFIN (ERSKINE SANDSTONE),57.0556,2.0694,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14700,JURASSIC,SHALY SANDSTONE,220.0,210.0,23.0,10.0
GAMBA,-3.7656,10.5213,EXTENSION/EROSION/GRAVITY/EVAPORITE,OFFSHORE,OIL,DEVELOPING,SUB-SALT/RIFT,5590,CRETACEOUS,SANDSTONE,47.0,36.0,30.0,1550.0
LENTICULINA 1-TRIMOSINA A,28.2356,-91.7095,,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,3860,NEOGENE,LOW-RESISTIVITY SANDSTONE,6500.0,200.0,,700.0
FORTIES,57.75,1.81,EXTENSION/EVAPORITE/GRAVITY,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,8008,PALEOGENE,SANDSTONE,85.0,50.0,22.0,27.0
JAMES LIMESTONE,32.1068,-95.5215,GRAVITY/EXTENSION/EVAPORITE/DIAPIR,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,10000,CRETACEOUS,LIMESTONE,150.0,70.0,11.0,25.0
LATROBE (T1.1 UNIT),-38.33,148.417,INVERSION/COMPRESSION/EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,7677,CRETACEOUS,SANDSTONE,138.0,125.0,20.0,1200.0
BELL CANYON,31.92,-104.0,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2650,PERMIAN,SANDSTONE,47.0,25.0,21.0,18.0
FULMAR,56.9667,1.8667,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,SALT/RIFT,16360,JURASSIC,SANDSTONE,980.0,490.0,16.0,10.0
FRIO,29.5608,-95.1893,,ONSHORE,OIL,NEARLY DEPLETED,DELTA/SALT/PASSIVE MARGIN,5515,PALEOGENE,SANDSTONE,680.0,390.0,,2350.0
WICHITA-CLEARFORK,32.388,-102.803,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,6700,PERMIAN,DOLOMITE,2000.0,150.0,10.0,3.0
FUYU (QUANTOU),45.1999,124.8167,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,1030,CRETACEOUS,SANDSTONE,260.0,33.0,24.0,182.0
RED SERIES (HK-1 TO HK-5),36.4333,54.0,COMPRESSION/SHALE/REACTIVATION/BASEMENT-I,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/THRUST,9088,NEOGENE,SANDSTONE,1800.0,160.0,20.0,125.0
MACAE (QUISSAMA),-22.379,-40.4117,GRAVITY/EXTENSION/EVAPORITE,OFFSHORE,OIL,MATURE PRODUCTION,SALT/PASSIVE MARGIN,9967,CRETACEOUS,LIMESTONE,427.0,160.0,19.0,175.0
CARDIUM (A SAND),51.7349,-114.0274,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5400,CRETACEOUS,SANDSTONE,300.0,2.12,12.0,7.0
CARDIUM (B SAND),51.7349,-114.0274,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5500,CRETACEOUS,SANDSTONE,300.0,3.06,13.3,43.2
LOWER GANCHAIGOU,38.1,90.87,COMPRESSION,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,10427,PALEOGENE,SANDSTONE,804.0,93.0,14.0,48.0
UPPER GANCHAIGOU-LOWER YOUSHAS,38.1,90.87,COMPRESSION,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,4199,NEOGENE,SANDSTONE,3281.0,81.0,19.0,102.0
N1-N3,27.7656,-90.72,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,OFFSHORE,OIL,PLATEAU PRODUCTION,DELTA/SALT/PASSIVE MARGIN,8620,NEOGENE,SANDSTONE,400.0,250.0,32.0,800.0
HUTTON,-28.0,140.0,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,PLATEAU PRODUCTION,INTRACRATONIC,5392,JURASSIC,SANDSTONE,600.0,50.0,18.0,1000.0
MALEMBO (B SAND SYSTEM),-7.6714,11.7025,,OFFSHORE,OIL,DEVELOPING,SALT/PASSIVE MARGIN,3470,PALEOGENE,SANDSTONE,790.0,300.0,,4200.0
MISSION CANYON (FROBISHER-ALIDA),48.5237,-101.1809,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,4840,CARBONIFEROUS,LIMESTONE,100.0,10.0,17.0,24.0
LEDUC,53.4193,-113.8877,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5350,DEVONIAN,LIMESTONE,646.0,480.0,10.0,50.0
MUNGAROO,-20.5787,114.7728,INVERSION/COMPRESSION/EXTENSION/EROSION,OFFSHORE,GAS,UNDEVELOPED,RIFT/PASSIVE MARGIN,10300,TRIASSIC,SANDSTONE,2300.0,260.0,16.0,700.0
RED SERIES,39.66,53.77,COMPRESSION/EVAPORITE/EXTENSION/LINKED,ONSHORE,OIL,MATURE PRODUCTION,THRUST,5200,NEOGENE,SANDSTONE,7500.0,800.0,23.0,100.0
WARA-BURGAN,28.9167,47.9333,COMPRESSION/EVAPORITE,ONSHORE,OIL,REJUVENATING,FORELAND/SALT,3550,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,1350.0,900.0,24.0,1000.0
BIRDRONG,-21.2356,114.62,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,OIL,DEVELOPING,RIFT,8100,CRETACEOUS,SANDSTONE,115.0,40.0,15.0,30.0
ZEEPAARD,-21.2356,114.62,,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,8200,CRETACEOUS,SANDSTONE,427.0,295.0,,1300.0
SHAHEJIE (SHA-4),37.4167,118.7499,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,8077,PALEOGENE,SILTSTONE,300.0,41.0,24.0,681.0
GUANTAO,37.8667,118.7499,EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,3686,NEOGENE,SANDSTONE,790.0,88.0,33.0,1500.0
BRENT,61.1797,2.2121,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,5040,JURASSIC,SANDSTONE,980.0,525.0,30.0,1000.0
STATFJORD,61.1797,2.2121,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,5520,TRIASSIC-JURASSIC,SANDSTONE,630.0,394.0,26.0,1000.0
ASMARI,31.4333,49.55,,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,2801,PALEOGENE-NEOGENE,DOLOMITIC LIMESTONE,884.0,675.0,,1.0
LATROBE (M1 UNIT),-38.3989,148.3164,INVERSION/COMPRESSION/EXTENSION/EROSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,7175,PALEOGENE,SANDSTONE,505.0,120.0,20.0,1600.0
BALIKPAPAN,-0.8425,117.2786,INVERSION/COMPRESSION/EXTENSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/BACKARC,680,NEOGENE,SANDSTONE,12500.0,1300.0,18.0,200.0
TURNER VALLEY (RUNDLE POOL),51.7569,-114.4351,,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,FORELAND,8250,CARBONIFEROUS,DOLOMITE,120.0,38.0,,20.0
TURNER VALLEY (RUNDLE C POOL),51.6624,-114.429,COMPRESSION/EROSION,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,FORELAND,8750,CARBONIFEROUS,DOLOMITE,140.0,70.0,12.0,125.0
SHANNON,43.9224,-105.9864,,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,9000,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,70.0,20.0,,12.0
NORPHLET,30.8976,-88.066,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SALT/PASSIVE MARGIN,18050,JURASSIC,SANDSTONE,350.0,200.0,10.4,0.5
UPPER MINNELUSA (B SAND),44.0263,-105.5474,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,11290,PERMIAN,SANDSTONE,140.0,30.0,13.0,30.0
WOODBINE,32.6351,-95.2209,GRAVITY/EXTENSION/EVAPORITE,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,3770,CRETACEOUS,SANDSTONE,525.0,300.0,27.0,3400.0
BRENT,60.95,0.8833,EXTENSION,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,8981,JURASSIC,SANDSTONE,210.0,113.0,10.0,20.0
BASSEIN (ZONE B),18.172,72.313,EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,4542,PALEOGENE,LIMESTONE,230.0,82.0,12.0,0.8
FANGST,65.3378,7.3096,EXTENSION/EROSION,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,5692,JURASSIC,SANDSTONE,230.0,207.0,28.0,1450.0
DAKOTA SANDSTONE,41.1334,-110.1768,COMPRESSION/EROSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,13665,CRETACEOUS,SANDSTONE,350.0,19.0,14.0,43.4
AVALON,46.7495,-48.7822,EXTENSION/EVAPORITE/EROSION/GRAVITY,OFFSHORE,OIL,DEVELOPING,RIFT/SALT,6627,CRETACEOUS,SANDSTONE,1180.0,115.0,20.0,220.0
HIBERNIA,46.7495,-48.7822,EXTENSION/EVAPORITE/EROSION/GRAVITY,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT/SALT,10890,CRETACEOUS,SANDSTONE,650.0,128.0,16.0,700.0
IMBURU-TORO,-6.0136,142.8409,COMPRESSION,ONSHORE,GAS-CONDENSATE,CONTINUING DEVELOPMENT,THRUST,9905,JURASSIC-CRETACEOUS,SANDSTONE,490.0,240.0,10.0,100.0
GLAUCONITE,52.8481,-114.187,COMPRESSION/EROSION,ONSHORE,GAS-CONDENSATE,CONTINUING DEVELOPMENT,FORELAND,4900,CRETACEOUS,SANDSTONE,80.0,35.0,11.0,5.0
